Score, Target, Expression
11,-37,~(((~(-(~(True))))<<(True))**(-(~(True))))
11,34,-((~((True)<<(-((~(True))<<(True)))))<<(True))
11,-30,-((~((~(True))<<((True)-(~(True)))))<<(True))
11,258,(True)-(~((True)<<((True)<<((True)-(~(True))))))
11,66,(True)-(~((True)<<(((True)-(~(True)))<<(True))))
11,2048,(True)<<(~((~(-(~(True))))<<(-(~(True)))))
11,-65535,(True)-((True)<<((True)<<(-((~(True))<<(True)))))
11,513,(True)-((~(True))<<((True)<<((True)-(~(True)))))
11,16384,(True)<<((~((~(True))<<(-(~(True)))))<<(True))
11,115792089237316195423570985008687907853269984665640564039457584007913129639936,(~(True))**((True)<<((True)<<((True)-(~(True)))))
11,4294967296,(~(True))**((True)<<((True)-((~(True))<<(True))))
11,18446744073709551616,(~(True))**((True)<<(((True)-(~(True)))<<(True)))
11,-8192,(~(True))<<(((True)-(~(True)))<<(-(~(True))))
11,-2048,(~(True))<<(((True)-((~(True))<<(True)))<<(True))
11,-768,(~(-(~(True))))<<((True)<<((True)-(~(True))))
11,6561,(~(-(~(True))))**((True)<<((True)-(~(True))))
11,-96,(~(-(~(True))))<<((True)-((~(True))<<(True)))
11,-243,(~(-(~(True))))**((True)-((~(True))<<(True)))
11,-192,(~(-(~(True))))<<(((True)-(~(True)))<<(True))
11,729,(~(-(~(True))))**(((True)-(~(True)))<<(True))
11,768,((True)-(~(True)))<<((True)<<((True)-(~(True))))
11,96,((True)-(~(True)))<<((True)-((~(True))<<(True)))
11,243,((True)-(~(True)))**((True)-((~(True))<<(True)))
11,192,((True)-(~(True)))<<(((True)-(~(True)))<<(True))
11,-40,(~(-((~(True))<<(True))))<<((True)-(~(True)))
11,-125,(~(-((~(True))<<(True))))**((True)-(~(True)))
11,40,((True)-((~(True))<<(True)))<<((True)-(~(True)))
11,125,((True)-((~(True))<<(True)))**((True)-(~(True)))
11,-216,((~(-(~(True))))<<(True))**((True)-(~(True)))
11,216,(((True)-(~(True)))<<(True))**((True)-(~(True)))
11,49,(~((~(True))<<(-(~(True)))))**(-(~(True)))
11,-514,(~((True)<<((True)<<((True)-(~(True))))))<<(True)
11,-130,(~((True)<<(((True)-(~(True)))<<(True))))<<(True)
11,22,(~((~(-(~(True))))<<(-(~(True)))))<<(True)
11,-22,(~(((True)-((~(True))<<(True)))<<(True)))<<(True)
11,-54,((~(-(~(True))))**((True)-(~(True))))<<(True)
11,54,(((True)-(~(True)))**((True)-(~(True))))<<(True)
12,-65538,~(-(~((True)<<((True)<<(-((~(True))<<(True)))))))
12,510,~(-(~((~(True))<<((True)<<((True)-(~(True)))))))
12,126,~(-(~((~(True))<<(((True)-(~(True)))<<(True)))))
12,-29,~(-(~(((True)-(~(True)))**((True)-(~(True))))))
12,32767,~(-((True)<<(~((~(True))<<((True)-(~(True)))))))
12,32769,-(~((True)<<(~((~(True))<<((True)-(~(True)))))))
12,-254,-(~((True)-((True)<<((True)<<((True)-(~(True)))))))
12,-62,-(~((True)-((True)<<(((True)-(~(True)))<<(True)))))
12,4095,~(-((True)<<(((True)-(~(True)))<<(-(~(True))))))
12,4097,-(~((True)<<(((True)-(~(True)))<<(-(~(True))))))
12,1023,~(-((True)<<(((True)-((~(True))<<(True)))<<(True))))
12,1025,-(~((True)<<(((True)-((~(True))<<(True)))<<(True))))
12,-131073,~(-((~(True))<<((True)<<(-((~(True))<<(True))))))
12,-131071,-(~((~(True))<<((True)<<(-((~(True))<<(True))))))
12,-47,-(~((~(-(~(True))))<<(-((~(True))<<(True)))))
12,80,~(-((~(-(~(True))))**(-((~(True))<<(True)))))
12,82,-(~((~(-(~(True))))**(-((~(True))<<(True)))))
12,21,-(~(((True)-((~(True))<<(True)))<<(-(~(True)))))
12,35,~(-(((~(-(~(True))))<<(True))**(-(~(True)))))
12,37,-(~(((~(-(~(True))))<<(True))**(-(~(True)))))
12,-35,~(-((~((True)<<(-((~(True))<<(True)))))<<(True)))
12,29,~(-((~((~(True))<<((True)-(~(True)))))<<(True)))
12,-259,~((True)-(~((True)<<((True)<<((True)-(~(True)))))))
12,-67,~((True)-(~((True)<<(((True)-(~(True)))<<(True)))))
12,-2049,~((True)<<(~((~(-(~(True))))<<(-(~(True))))))
12,65534,~((True)-((True)<<((True)<<(-((~(True))<<(True))))))
12,-16384,-((True)<<((~((~(True))<<(-(~(True)))))<<(True)))
12,-16385,~((True)<<((~((~(True))<<(-(~(True)))))<<(True)))
12,-115792089237316195423570985008687907853269984665640564039457584007913129639936,-((~(True))**((True)<<((True)<<((True)-(~(True))))))
12,-115792089237316195423570985008687907853269984665640564039457584007913129639937,~((~(True))**((True)<<((True)<<((True)-(~(True))))))
12,-4294967296,-((~(True))**((True)<<((True)-((~(True))<<(True)))))
12,-4294967297,~((~(True))**((True)<<((True)-((~(True))<<(True)))))
12,-18446744073709551616,-((~(True))**((True)<<(((True)-(~(True)))<<(True))))
12,-18446744073709551617,~((~(True))**((True)<<(((True)-(~(True)))<<(True))))
12,8192,-((~(True))<<(((True)-(~(True)))<<(-(~(True)))))
12,8191,~((~(True))<<(((True)-(~(True)))<<(-(~(True)))))
12,2047,~((~(True))<<(((True)-((~(True))<<(True)))<<(True)))
12,767,~((~(-(~(True))))<<((True)<<((True)-(~(True)))))
12,-6561,-((~(-(~(True))))**((True)<<((True)-(~(True)))))
12,-6562,~((~(-(~(True))))**((True)<<((True)-(~(True)))))
12,95,~((~(-(~(True))))<<((True)-((~(True))<<(True))))
12,242,~((~(-(~(True))))**((True)-((~(True))<<(True))))
12,191,~((~(-(~(True))))<<(((True)-(~(True)))<<(True)))
12,-729,-((~(-(~(True))))**(((True)-(~(True)))<<(True)))
12,-730,~((~(-(~(True))))**(((True)-(~(True)))<<(True)))
12,-769,~(((True)-(~(True)))<<((True)<<((True)-(~(True)))))
12,-97,~(((True)-(~(True)))<<((True)-((~(True))<<(True))))
12,-244,~(((True)-(~(True)))**((True)-((~(True))<<(True))))
12,-193,~(((True)-(~(True)))<<(((True)-(~(True)))<<(True)))
12,39,~((~(-((~(True))<<(True))))<<((True)-(~(True))))
12,124,~((~(-((~(True))<<(True))))**((True)-(~(True))))
12,-41,~(((True)-((~(True))<<(True)))<<((True)-(~(True))))
12,-126,~(((True)-((~(True))<<(True)))**((True)-(~(True))))
12,215,~(((~(-(~(True))))<<(True))**((True)-(~(True))))
12,-217,~((((True)-(~(True)))<<(True))**((True)-(~(True))))
12,-50,~((~((~(True))<<(-(~(True)))))**(-(~(True))))
12,514,-((~((True)<<((True)<<((True)-(~(True))))))<<(True))
12,130,-((~((True)<<(((True)-(~(True)))<<(True))))<<(True))
12,53,~(((~(-(~(True))))**((True)-(~(True))))<<(True))
12,-55,~((((True)-(~(True)))**((True)-(~(True))))<<(True))
12,65538,(True)-(~((True)<<((True)<<(-((~(True))<<(True))))))
12,-510,(True)-(~((~(True))<<((True)<<((True)-(~(True))))))
12,262144,(True)<<(-((~((True)<<((True)-(~(True)))))<<(True)))
12,-32767,(True)-((True)<<(~((~(True))<<((True)-(~(True))))))
12,-4095,(True)-((True)<<(((True)-(~(True)))<<(-(~(True)))))
12,-1023,(True)-((True)<<(((True)-((~(True))<<(True)))<<(True)))
