Score, Target, Expression
13,-513,~(-((~(True))**((~(-(~(True))))**(-(~(True))))))
13,-511,-(~((~(True))**((~(-(~(True))))**(-(~(True))))))
13,-126,~(-((~((~(True))*(~(True))))**((True)-(~(True)))))
13,-124,-(~((~((~(True))*(~(True))))**((True)-(~(True)))))
13,35,~(-(((~(True))*((True)-(~(True))))**(-(~(True)))))
13,37,-(~(((~(True))*((True)-(~(True))))**(-(~(True)))))
13,-30,~((True)-(~(((True)-(~(True)))**((True)-(~(True))))))
13,-34,~((True)-((~(True))**(-(~((~(True))*(~(True)))))))
13,79,~((True)-((~(-(~(True))))**((~(True))*(~(True)))))
13,23,~((True)-((~((~(True))*(~(True))))**(-(~(True)))))
13,53,~((~(True))*(((True)-(~(True)))**((True)-(~(True)))))
13,134217728,-((~(True))**(((True)-(~(True)))**((True)-(~(True)))))
13,134217727,~((~(True))**(((True)-(~(True)))**((True)-(~(True)))))
13,-1024,-((~(True))**((~((~(True))*(~(True))))*(~(True))))
13,-1025,~((~(True))**((~((~(True))*(~(True))))*(~(True))))
13,242,~((~(-(~(True))))**(-(~((~(True))*(~(True))))))
13,-729,-((~(-(~(True))))**((~(-(~(True))))*(~(True))))
13,-730,~((~(-(~(True))))**((~(-(~(True))))*(~(True))))
13,-244,~(((True)-(~(True)))**(-(~((~(True))*(~(True))))))
13,-21,~((~((~(True))*(~(True))))*(~((True)-(~(True)))))
13,-625,-((~((~(True))*(~(True))))**((~(True))*(~(True))))
13,-626,~((~((~(True))*(~(True))))**((~(True))*(~(True))))
13,215,~(((~(True))*((True)-(~(True))))**((True)-(~(True))))
13,-217,~(((~(-(~(True))))*(~(True)))**((True)-(~(True))))
13,-49,-((~((~(True))**((True)-(~(True)))))**(-(~(True))))
13,-50,~((~((~(True))**((True)-(~(True)))))**(-(~(True))))
13,-35,~((~((~(True))**((~(True))*(~(True)))))*(~(True)))
13,-55,~(((~(-(~(True))))**((True)-(~(True))))*(~(True)))
13,66,(True)-(~((~(True))**((~(-(~(True))))*(~(True)))))
13,83,(True)-(~((~(-(~(True))))**((~(True))*(~(True)))))
13,-62,(True)-(~((~((True)-(~(True))))**((True)-(~(True)))))
13,-255,(True)-((~(True))**(-((~(True))**((True)-(~(True))))))
13,129,(True)-((~(True))**(~((~(True))**((True)-(~(True))))))
13,-65535,(True)-((~(True))**((~(True))**((~(True))*(~(True)))))
13,513,(True)-((~(True))**((~(-(~(True))))**(-(~(True)))))
13,126,(True)-((~((~(True))*(~(True))))**((True)-(~(True))))
13,-32768,(~(True))**(~(-((~(True))**((~(True))*(~(True))))))
13,-131072,(~(True))**(-(~((~(True))**((~(True))*(~(True))))))
13,-52,(~(True))*(~((~(-(~(True))))**((True)-(~(True)))))
13,67108864,(~(True))**(~((~(-(~(True))))**((True)-(~(True)))))
13,18446744073709551616,(~(True))**((~(True))**((~(-(~(True))))*(~(True))))
13,-162,(~(True))*((~(-(~(True))))**((~(True))*(~(True))))
13,-2417851639229258349412352,(~(True))**((~(-(~(True))))**((~(True))*(~(True))))
13,4096,(~(True))**(((True)-(~(True)))*((~(True))*(~(True))))
13,-33554432,(~(True))**((~((~(True))*(~(True))))**(-(~(True))))
13,6561,(~(-(~(True))))**(-((~(True))**((True)-(~(True)))))
13,-2187,(~(-(~(True))))**(~((~(True))**((True)-(~(True)))))
13,-48,(~(-(~(True))))*((~(True))**((~(True))*(~(True))))
13,43046721,(~(-(~(True))))**((~(True))**((~(True))*(~(True))))
13,-19683,(~(-(~(True))))**((~(-(~(True))))**(-(~(True))))
13,21,((True)-(~(True)))*(~((~(True))**((True)-(~(True)))))
13,2187,((True)-(~(True)))**(~((~(True))**((True)-(~(True)))))
13,48,((True)-(~(True)))*((~(True))**((~(True))*(~(True))))
13,19683,((True)-(~(True)))**((~(-(~(True))))**(-(~(True))))
